Designator,Mid X,Mid Y,Rotation,Layer
C1,178.418,-69.761,270.0,top
D1,167.4355,-68.721,0.0,top
D2,170.523,-68.721,180.0,top
J1,174.585,-64.965,0.0,top
J2,174.585,-65.492,180.0,top
Q1,163.9425,-72.9,270.0,top
Q2,163.95,-64.49,270.0,top
R1,168.248,-73.846,180.0,top
R2,168.248,-72.296,180.0,top
R3,168.248,-70.646,0.0,top
R4,159.498,-64.621,0.0,top
R5,159.523,-72.446,180.0,top
R6,167.885,-66.575,180.0,top
R7,167.885,-65.05,180.0,top
R8,167.885,-63.525,0.0,top
S3,161.298,-68.676,180.0,bottom
U1,161.298,-68.671,0.0,top
